Provinsi,Kab/Kota,PDRB atas Dasar Harga Konstan menurut Pengeluaran (Rupiah),Tingkat Pengangguran Terbuka,Klaster
JAWA BARAT,Kota Cirebon,17154552,10.53,1
JAWA BARAT,Kota Bekasi,69796936,10.88,1
JAWA BARAT,Kota Depok,49946927,9.76,1
JAWA BARAT,Kota Cimahi,23275779,13.07,1
JAWA BARAT,Kota Tasikmalaya,15981251,7.66,1
JAWA BARAT,Kota Banjar,3364261,6.09,0
JAWA TENGAH,Cilacap,91944588,9.97,1
JAWA TENGAH,Banyumas,40686808,6.05,1
JAWA TENGAH,Purbalingga,17731438,6.05,0
JAWA TENGAH,Banjarnegara,15536478,5.86,0
JAWA TENGAH,Kebumen,20253059,6.03,0
JAWA TENGAH,Purworejo,13582556,3.59,0
JAWA TENGAH,Wonosobo,14064765,5.26,0
JAWA TENGAH,Magelang,23661713,5.03,0
JAWA TENGAH,Boyolali,23447366,5.09,0
JAWA TENGAH,Klaten,28531109,5.48,0
JAWA TENGAH,Sukoharjo,27634118,3.32,0
JAWA TENGAH,Wonogiri,21251004,2.43,0
JAWA TENGAH,Karanganyar,27034108,5.89,0
JAWA TENGAH,Sragen,27355146,4.76,0
JAWA TENGAH,Grobogan,20115534,4.38,0
JAWA TENGAH,Blora,18126447,3.81,0
JAWA TENGAH,Rembang,13925516,3.67,0
JAWA TENGAH,Pati,31559079,4.6,0
JAWA TENGAH,Kudus,69556928,3.77,0
JAWA TENGAH,Jepara,21944232,4.23,0
JAWA TENGAH,Demak,18856416,5.28,0
JAWA TENGAH,Semarang,35946100,5.02,0
JAWA TENGAH,Temanggung,15387930,2.62,0
JAWA TENGAH,Kendal,31632276,7.55,1
JAWA TENGAH,Batang,15764266,6.59,1
JAWA TENGAH,Pekalongan,16615066,4.28,0
JAWA TENGAH,Pemalang,18916262,6.71,1
JAWA TENGAH,Tegal,25402911,9.97,1
JAWA TENGAH,Brebes,33456328,9.78,1
JAWA TENGAH,Kota Magelang,6513895,8.73,1
JAWA TENGAH,Kota Surakarta,36211248,7.85,1
JAWA TENGAH,Kota Salatiga,9820287,7.26,1
JAWA TENGAH,Kota Semarang,144710663,9.54,1
JAWA TENGAH,Kota Pekalongan,7601486,6.89,1
JAWA TENGAH,Kota Tegal,11290269,8.25,1
D I YOGYAKARTA,Kulon Progo,8778800,3.69,0
D I YOGYAKARTA,Bantul,19773332,4.04,0
D I YOGYAKARTA,Gunung Kidul,14216362,2.2,0
D I YOGYAKARTA,Sleman,35786977,5.17,0
D I YOGYAKARTA,Kota Yogyakarta,28390085,9.13,1
JAWA TIMUR,Pacitan,11107402,2.04,0
JAWA TIMUR,Ponorogo,14619969,4.38,0
JAWA TIMUR,Trenggalek,12959018,3.53,0
JAWA TIMUR,Tulungagung,27390424,4.91,0
JAWA TIMUR,Blitar,25700019,3.66,0
JAWA TIMUR,Kediri,29361672,5.15,0
JAWA TIMUR,Malang,68619103,5.4,0
JAWA TIMUR,Lumajang,22623402,3.51,0
JAWA TIMUR,Jember,54688719,5.44,0
JAWA TIMUR,Banyuwangi,55471065,5.42,0
JAWA TIMUR,Bondowoso,13921654,4.46,0
JAWA TIMUR,Situbondo,13715834,3.68,0
JAWA TIMUR,Probolinggo,23664388,4.55,0
JAWA TIMUR,Pasuruan,107630268,6.03,1
JAWA TIMUR,Sidoarjo,141000359,10.87,1
JAWA TIMUR,Mojokerto,60198699,5.54,0
JAWA TIMUR,Jombang,28553448,7.09,1
JAWA TIMUR,Nganjuk,18640685,4.98,0
JAWA TIMUR,Madiun,13372330,4.99,0
JAWA TIMUR,Magetan,13417032,3.86,0
JAWA TIMUR,Ngawi,13823456,4.25,0
JAWA TIMUR,Bojonegoro,65839509,4.82,0
JAWA TIMUR,Tuban,43984689,4.68,0
JAWA TIMUR,Lamongan,27896543,4.9,0
JAWA TIMUR,Gresik,101318686,8.0,1
JAWA TIMUR,Bangkalan,17152779,8.07,1
JAWA TIMUR,Sampang,13984568,3.45,0
JAWA TIMUR,Pamekasan,11496236,3.1,0
JAWA TIMUR,Sumenep,24161351,2.31,0
JAWA TIMUR,Kota Kediri,86485594,6.37,1
JAWA TIMUR,Kota Blitar,4924572,6.61,1
JAWA TIMUR,Kota Malang,53309702,9.65,1
JAWA TIMUR,Kota Probolinggo,8361142,6.55,1
JAWA TIMUR,Kota Pasuruan,5914585,6.23,0
JAWA TIMUR,Kota Mojokerto,4976490,6.87,1
JAWA TIMUR,Kota Madiun,10748101,8.15,1
JAWA TIMUR,Kota Surabaya,407726799,9.68,2
JAWA TIMUR,Kota Batu,11471435,6.57,1
BANTEN,Pandeglang,20127757,7.7,1
BANTEN,Lebak,21245043,7.86,1
BANTEN,Tangerang,97809902,9.06,1
BANTEN,Serang,54992522,10.58,1
BANTEN,Kota Tangerang,106705227,9.07,1
BANTEN,Kota Cilegon,77071368,10.13,1
BANTEN,Kota Serang,23374085,9.41,1
BANTEN,Kota Tangerang Selatan,62364158,8.6,1
BALI,Jembrana,8892801,4.11,0
BALI,Tabanan,14516578,3.94,0
BALI,Badung,29049519,6.93,1
BALI,Gianyar,17254614,6.9,1
BALI,Klungkung,5595883,5.35,0
BALI,Bangli,4384701,1.8,0
BALI,Karang Asem,10570603,2.32,0
BALI,Buleleng,21797733,5.38,0
BALI,Kota Denpasar,32447056,7.02,1
NUSA TENGGARA BARAT,Lombok Barat,10472388,3.32,0
NUSA TENGGARA BARAT,Lombok Tengah,12037665,2.33,0
NUSA TENGGARA BARAT,Lombok Timur,14410804,2.79,0
NUSA TENGGARA BARAT,Sumbawa,10221006,3.39,0
NUSA TENGGARA BARAT,Dompu,4979197,3.02,0
NUSA TENGGARA BARAT,Bima,8085529,1.58,0
NUSA TENGGARA BARAT,Sumbawa Barat,16416012,5.52,0
NUSA TENGGARA BARAT,Lombok Utara,3262262,1.75,0
NUSA TENGGARA BARAT,Kota Mataram,13476129,5.19,0
NUSA TENGGARA BARAT,Kota Bima,2939133,3.56,0
NUSA TENGGARA TIMUR,Sumba Barat,1452224,1.74,0
NUSA TENGGARA TIMUR,Sumba Timur,4009592,3.35,0
NUSA TENGGARA TIMUR,Kupang,4885118,3.99,0
NUSA TENGGARA TIMUR,Timor Tengah Selatan,4883924,2.57,0
NUSA TENGGARA TIMUR,Timor Tengah Utara,2949220,3.88,0
NUSA TENGGARA TIMUR,Belu,3020198,5.35,0
NUSA TENGGARA TIMUR,Alor,2045994,2.59,0
NUSA TENGGARA TIMUR,Lembata,1180363,4.94,0
NUSA TENGGARA TIMUR,Flores Timur,3517877,3.81,0
NUSA TENGGARA TIMUR,Sikka,3371315,4.54,0
NUSA TENGGARA TIMUR,Ende,4162984,2.61,0
NUSA TENGGARA TIMUR,Ngada,2335872,2.99,0
NUSA TENGGARA TIMUR,Manggarai,3025880,3.7,0
NUSA TENGGARA TIMUR,Rote Ndao,1971699,3.67,0
NUSA TENGGARA TIMUR,Manggarai Barat,2296768,4.94,0
NUSA TENGGARA TIMUR,Sumba Tengah,767260,1.45,0
NUSA TENGGARA TIMUR,Sumba Barat Daya,2355164,2.04,0
NUSA TENGGARA TIMUR,Nagekeo,1406360,0.97,0
NUSA TENGGARA TIMUR,Manggarai Timur,2086842,1.96,0
NUSA TENGGARA TIMUR,Sabu Raijua,785138,1.25,0
NUSA TENGGARA TIMUR,Malaka,1915540,3.43,0
NUSA TENGGARA TIMUR,Kota Kupang,16530278,9.76,1
KALIMANTAN BARAT,Sambas,13948120,3.97,0
KALIMANTAN BARAT,Bengkayang,5842930,4.42,0
KALIMANTAN BARAT,Landak,7312662,3.22,0
KALIMANTAN BARAT,Pontianak,5466323,7.71,1
KALIMANTAN BARAT,Sanggau,13790449,3.45,0
KALIMANTAN BARAT,Ketapang,18848703,6.94,1
KALIMANTAN BARAT,Sintang,9731976,3.95,0
KALIMANTAN BARAT,Kapuas Hulu,6510868,4.18,0
KALIMANTAN BARAT,Sekadau,4435321,2.92,0
KALIMANTAN BARAT,Melawi,3500136,2.66,0
KALIMANTAN BARAT,Kayong Utara,2632989,3.78,0
KALIMANTAN BARAT,Kubu Raya,18754974,7.02,1
KALIMANTAN BARAT,Kota Pontianak,24919417,12.38,1
KALIMANTAN BARAT,Kota Singkawang,6977774,9.16,1
KALIMANTAN TENGAH,Kotawaringin Barat,13733984,4.7,0
KALIMANTAN TENGAH,Kotawaringin Timur,18269734,5.15,0
KALIMANTAN TENGAH,Kapuas,11306032,4.91,0
KALIMANTAN TENGAH,Barito Selatan,4326702,4.16,0
KALIMANTAN TENGAH,Barito Utara,7151778,5.14,0
KALIMANTAN TENGAH,Sukamara,3043322,4.65,0
KALIMANTAN TENGAH,Lamandau,3968760,2.3,0
KALIMANTAN TENGAH,Seruyan,6033556,4.25,0
KALIMANTAN TENGAH,Katingan,5087479,5.5,0
KALIMANTAN TENGAH,Pulang Pisau,3596824,2.6,0
KALIMANTAN TENGAH,Gunung Mas,3804709,3.11,0
KALIMANTAN TENGAH,Barito Timur,5336339,3.22,0
