Provinsi,Kab/Kota,Prob_Klaster_0,Prob_Klaster_1,Prob_Klaster_2,Prob_Klaster_3,Klaster
RIAU,Kampar,2.8611442934441526e-10,1.1506049583786967e-21,0.9999999997138858,0.0,2
RIAU,Rokan Hulu,0.2832347052292848,1.1298764658894345e-38,0.7167652947707149,2.8086691695824257e-86,2
RIAU,Bengkalis,2.763205527755485e-22,4.166260590803087e-10,0.9999999995833742,0.0,2
RIAU,Rokan Hilir,1.1944303715799885e-07,5.053873552484966e-26,0.9999998805569632,3.765568847535373e-292,2
RIAU,Kepulauan Meranti,0.9999400298749689,9.244494751644091e-81,5.997012503121759e-05,1.8728793911243796e-16,0
RIAU,Kota Pekanbaru,5.121735084323543e-21,0.00012186882928194179,0.9998781311707182,0.0,2
RIAU,Kota Dumai,0.4739912933847187,1.6438211342399247e-11,0.5260087065988427,1.0583192591621023e-73,2
JAMBI,Kerinci,0.9785524190186923,6.517994716290472e-36,0.011241121555101636,0.010206459426206183,0
JAMBI,Merangin,0.9703771491389573,1.5137272016907567e-24,0.029622763938591066,8.692245153901947e-08,0
JAMBI,Sarolangun,0.9535637220282858,7.43691958961779e-21,0.046436277064963005,9.067512874611213e-10,0
JAMBI,Batang Hari,0.9746197578680311,6.075661412263836e-29,0.025380242130650026,1.3188895737253347e-12,0
JAMBI,Muaro Jambi,0.9488443862957353,9.923760061714838e-16,0.051155613704263705,1.0190239952418654e-25,0
JAMBI,Tanjung Jabung Timur,0.9297826378455261,7.076308863715706e-47,0.07021736215447388,6.20683113828673e-32,0
JAMBI,Tanjung Jabung Barat,0.04321365952211239,2.237891991148049e-37,0.956786340477888,3.7488094170824216e-120,2
JAMBI,Tebo,0.9876830609134264,2.9326634897541503e-31,0.012316923884327601,1.5202246136070984e-08,0
JAMBI,Bungo,0.9493051174630419,3.2177349783789123e-16,0.05069488253681394,1.4383776378785364e-13,0
JAMBI,Kota Jambi,0.01780884354065201,0.00036084949887398124,0.9818303069604741,1.3464515369018899e-36,2
JAMBI,Kota Sungai Penuh,0.6333052969789736,1.479939506623547e-27,0.0026782200343256424,0.3640164829867008,0
SUMATERA SELATAN,Ogan Komering Ulu,0.9775361279745801,9.703687842218536e-33,0.022463776396864404,9.5628555548956e-08,0
SUMATERA SELATAN,Ogan Komering Ilir,0.9353421899983514,5.07756131790421e-46,0.06465781000164848,3.4930882664997724e-50,0
SUMATERA SELATAN,Muara Enim,1.6838574140721277e-05,1.6497583005988484e-26,0.9999831614258594,9.25525548416645e-258,2
SUMATERA SELATAN,Lahat,0.9919046465253103,7.010941866496951e-49,0.008095353474689261,4.0241563280215925e-16,0
SUMATERA SELATAN,Musi Rawas,0.9824524693249015,3.179860637428563e-46,0.017547530675098538,2.057030159982452e-19,0
SUMATERA SELATAN,Musi Banyuasin,5.848171080375643e-06,1.1414262382135376e-40,0.9999941518289198,1.1114393139272777e-290,2
SUMATERA SELATAN,Banyu Asin,0.889502262495716,1.8071815216128351e-31,0.11049773750428403,2.0651233515898673e-47,0
SUMATERA SELATAN,Ogan Komering Ulu Selatan,0.9121106555325134,3.7549052439023092e-37,0.015679043279734857,0.07221030118775187,0
SUMATERA SELATAN,Ogan Komering Ulu Timur,0.9827646396090016,4.354993932302995e-36,0.0172353541738377,6.217160615746263e-09,0
SUMATERA SELATAN,Ogan Ilir,0.9872731117817934,1.087941954578617e-44,0.012182165109201205,0.0005447231090053279,0
SUMATERA SELATAN,Empat Lawang,0.3591322058320703,3.6857877564182235e-48,0.005665098543476347,0.6352026956244534,3
SUMATERA SELATAN,Penukal Abab Lematang Ilir,0.5806016918420248,2.8485229849975662e-39,0.011354663785782362,0.40804364437219287,0
SUMATERA SELATAN,Musi Rawas Utara,0.20776719130280366,4.4445606485158375e-43,0.004760849667420896,0.7874719590297755,3
SUMATERA SELATAN,Kota Palembang,1.650827751119758e-48,0.0001971777222985894,0.9998028222777011,0.0,2
SUMATERA SELATAN,Kota Prabumulih,0.5489509387677455,2.725405077386148e-25,0.04837229028661534,0.40267677094563903,0
SUMATERA SELATAN,Kota Pagar Alam,0.5640220843531185,1.6267880254497396e-43,0.009540375352809483,0.426437540294072,0
SUMATERA SELATAN,Kota Lubuklinggau,0.1923293165985797,8.021424520167588e-26,0.028162142125123753,0.7795085412762965,3
BENGKULU,Bengkulu Selatan,0.13404005272625677,5.220303512009614e-63,0.0007461457455744283,0.8652138015281688,3
BENGKULU,Rejang Lebong,0.9505352804567004,7.155204740503935e-55,0.007921012836189154,0.041543706707110384,0
BENGKULU,Bengkulu Utara,0.7893182715935767,1.1677783783194393e-36,0.015248736394299698,0.1954329920121236,0
BENGKULU,Kaur,0.05935427436101692,1.0396500556776406e-58,0.00044942101633443134,0.9401963046226487,3
BENGKULU,Seluma,0.06142293107883389,3.7594213172367173e-59,0.0003963019037050493,0.9381807670174611,3
BENGKULU,Mukomuko,0.3588144506047141,1.0356590077348869e-36,0.009206528865642006,0.6319790205296439,3
BENGKULU,Lebong,0.42541190701893944,9.172241514065996e-40,0.010654441352331052,0.5639336516287295,3
BENGKULU,Kepahiang,0.23019637020696876,3.5777288040580404e-56,0.0031687972596398787,0.7666348325333915,3
