Provinsi,Kab/Kota,Tingkat Pengangguran Terbuka,Klaster
JAWA TIMUR,Kota Surabaya,9.68,1
JAWA TIMUR,Kota Batu,6.57,2
BANTEN,Pandeglang,7.7,1
BANTEN,Lebak,7.86,1
BANTEN,Tangerang,9.06,1
BANTEN,Serang,10.58,1
BANTEN,Kota Tangerang,9.07,1
BANTEN,Kota Cilegon,10.13,1
BANTEN,Kota Serang,9.41,1
BANTEN,Kota Tangerang Selatan,8.6,1
BALI,Jembrana,4.11,0
BALI,Tabanan,3.94,0
BALI,Badung,6.93,2
BALI,Gianyar,6.9,2
BALI,Klungkung,5.35,2
BALI,Bangli,1.8,0
BALI,Karang Asem,2.32,0
BALI,Buleleng,5.38,2
BALI,Kota Denpasar,7.02,2
NUSA TENGGARA BARAT,Lombok Barat,3.32,0
NUSA TENGGARA BARAT,Lombok Tengah,2.33,0
NUSA TENGGARA BARAT,Lombok Timur,2.79,0
NUSA TENGGARA BARAT,Sumbawa,3.39,0
NUSA TENGGARA BARAT,Dompu,3.02,0
NUSA TENGGARA BARAT,Bima,1.58,0
NUSA TENGGARA BARAT,Sumbawa Barat,5.52,2
NUSA TENGGARA BARAT,Lombok Utara,1.75,0
NUSA TENGGARA BARAT,Kota Mataram,5.19,2
NUSA TENGGARA BARAT,Kota Bima,3.56,0
NUSA TENGGARA TIMUR,Sumba Barat,1.74,0
NUSA TENGGARA TIMUR,Sumba Timur,3.35,0
NUSA TENGGARA TIMUR,Kupang,3.99,0
NUSA TENGGARA TIMUR,Timor Tengah Selatan,2.57,0
NUSA TENGGARA TIMUR,Timor Tengah Utara,3.88,0
NUSA TENGGARA TIMUR,Belu,5.35,2
NUSA TENGGARA TIMUR,Alor,2.59,0
NUSA TENGGARA TIMUR,Lembata,4.94,2
NUSA TENGGARA TIMUR,Flores Timur,3.81,0
NUSA TENGGARA TIMUR,Sikka,4.54,2
NUSA TENGGARA TIMUR,Ende,2.61,0
NUSA TENGGARA TIMUR,Ngada,2.99,0
NUSA TENGGARA TIMUR,Manggarai,3.7,0
NUSA TENGGARA TIMUR,Rote Ndao,3.67,0
NUSA TENGGARA TIMUR,Manggarai Barat,4.94,2
NUSA TENGGARA TIMUR,Sumba Tengah,1.45,0
NUSA TENGGARA TIMUR,Sumba Barat Daya,2.04,0
NUSA TENGGARA TIMUR,Nagekeo,0.97,0
NUSA TENGGARA TIMUR,Manggarai Timur,1.96,0
NUSA TENGGARA TIMUR,Sabu Raijua,1.25,0
NUSA TENGGARA TIMUR,Malaka,3.43,0
NUSA TENGGARA TIMUR,Kota Kupang,9.76,1
KALIMANTAN BARAT,Sambas,3.97,0
KALIMANTAN BARAT,Bengkayang,4.42,2
KALIMANTAN BARAT,Landak,3.22,0
KALIMANTAN BARAT,Pontianak,7.71,1
KALIMANTAN BARAT,Sanggau,3.45,0
KALIMANTAN BARAT,Ketapang,6.94,2
KALIMANTAN BARAT,Sintang,3.95,0
KALIMANTAN BARAT,Kapuas Hulu,4.18,0
KALIMANTAN BARAT,Sekadau,2.92,0
KALIMANTAN BARAT,Melawi,2.66,0
KALIMANTAN BARAT,Kayong Utara,3.78,0
KALIMANTAN BARAT,Kubu Raya,7.02,2
KALIMANTAN BARAT,Kota Pontianak,12.38,1
KALIMANTAN BARAT,Kota Singkawang,9.16,1
KALIMANTAN TENGAH,Kotawaringin Barat,4.7,2
KALIMANTAN TENGAH,Kotawaringin Timur,5.15,2
KALIMANTAN TENGAH,Kapuas,4.91,2
KALIMANTAN TENGAH,Barito Selatan,4.16,0
KALIMANTAN TENGAH,Barito Utara,5.14,2
KALIMANTAN TENGAH,Sukamara,4.65,2
KALIMANTAN TENGAH,Lamandau,2.3,0
KALIMANTAN TENGAH,Seruyan,4.25,2
KALIMANTAN TENGAH,Katingan,5.5,2
KALIMANTAN TENGAH,Pulang Pisau,2.6,0
KALIMANTAN TENGAH,Gunung Mas,3.11,0
KALIMANTAN TENGAH,Barito Timur,3.22,0
KALIMANTAN TENGAH,Murung Raya,3.03,0
KALIMANTAN TENGAH,Kota Palangka Raya,5.86,2
KALIMANTAN SELATAN,Tanah Laut,3.52,0
KALIMANTAN SELATAN,Kota Baru,5.57,2
KALIMANTAN SELATAN,Banjar,3.98,0
KALIMANTAN SELATAN,Barito Kuala,3.22,0
KALIMANTAN SELATAN,Tapin,4.96,2
KALIMANTAN SELATAN,Hulu Sungai Selatan,2.44,0
KALIMANTAN SELATAN,Hulu Sungai Tengah,3.76,0
KALIMANTAN SELATAN,Hulu Sungai Utara,4.8,2
KALIMANTAN SELATAN,Tabalong,3.43,0
KALIMANTAN SELATAN,Tanah Bumbu,6.83,2
KALIMANTAN SELATAN,Balangan,2.44,0
KALIMANTAN SELATAN,Kota Banjarmasin,8.47,1
KALIMANTAN SELATAN,Kota Banjar Baru,5.7,2
KALIMANTAN TIMUR,Paser,5.7,2
KALIMANTAN TIMUR,Kutai Barat,5.14,2
KALIMANTAN TIMUR,Kutai Kartanegara,5.66,2
KALIMANTAN TIMUR,Kutai Timur,5.35,2
KALIMANTAN TIMUR,Berau,5.82,2
KALIMANTAN TIMUR,Penajam Paser Utara,2.95,0
KALIMANTAN TIMUR,Mahakam Hulu,3.14,0
KALIMANTAN TIMUR,Kota Balikpapan,8.94,1
KALIMANTAN TIMUR,Kota Samarinda,8.16,1
KALIMANTAN TIMUR,Kota Bontang,9.92,1
KALIMANTAN UTARA,Malinau,4.14,0
KALIMANTAN UTARA,Bulungan,4.54,2
KALIMANTAN UTARA,Tana Tidung,5.26,2
KALIMANTAN UTARA,Nunukan,4.24,2
KALIMANTAN UTARA,Kota Tarakan,4.94,2
SULAWESI UTARA,Bolaang Mongondow,4.85,2
SULAWESI UTARA,Minahasa,6.14,2
SULAWESI UTARA,Kepulauan Sangihe,4.72,2
SULAWESI UTARA,Kepulauan Talaud,2.3,0
