Provinsi,Kab/Kota,Prob_Klaster_0,Prob_Klaster_1,Prob_Klaster_2,Prob_Klaster_3,Prob_Klaster_4,Prob_Klaster_5,Klaster
SUMATERA BARAT,Pasaman Barat,0.005374999557797454,0.16263502859652987,5.486519333485961e-22,1.239536313467873e-13,0.004672287349806222,0.8273176844957426,5
SUMATERA BARAT,Kota Padang,0.7937851289452794,1.7795806036625694e-35,0.2062148702933352,5.4634e-320,7.613623035738744e-10,2.2998254867930218e-14,0
SUMATERA BARAT,Kota Solok,0.0008834770436470141,0.03728625919641165,3.3262538630853293e-18,0.5280074065798526,1.3234709216111573e-05,0.4338096224708728,3
SUMATERA BARAT,Kota Sawah Lunto,0.0018191794497570107,0.0005901980865861256,1.8586155691156604e-13,0.5040300735764971,7.462058851689303e-05,0.4934859282984571,3
SUMATERA BARAT,Kota Padang Panjang,0.0024641480714802932,0.08167607837788111,4.26881579039823e-21,0.4453348435918656,3.46126376098455e-05,0.47049031732116303,5
SUMATERA BARAT,Kota Bukittinggi,0.004683654596046879,0.007938343721243456,2.0979857289813044e-15,0.053709751163539904,0.0008641066896106403,0.932804143829557,5
SUMATERA BARAT,Kota Payakumbuh,0.0067053444187854345,0.0008989242209773045,8.224043309404093e-15,0.37665712523118633,0.0008933454531981214,0.6148452606758447,5
SUMATERA BARAT,Kota Pariaman,0.002183392857173616,0.0019434228293699425,3.2083407711471464e-15,0.48373045812840876,0.00012004356026478732,0.5120226826247797,5
RIAU,Kuantan Singingi,0.02006756130411028,4.2148002971998655e-06,9.250094321497842e-39,3.745407927902405e-91,0.07968175112966679,0.9002464727659257,5
RIAU,Indragiri Hulu,0.09347108642268703,2.1481746959997036e-09,3.0027963012278323e-26,9.071263256234811e-149,0.8039322928012617,0.10259661862787631,4
RIAU,Indragiri Hilir,0.6836453661605308,2.869757439940337e-27,5.206035520373552e-28,0.0,0.31634892215491295,5.7116845557853764e-06,0
RIAU,Pelalawan,0.24137863563313516,4.094339999978676e-15,9.541141332162929e-37,1.691806978874325e-216,0.6644212463012258,0.09420011806563527,4
RIAU,Siak,0.9979594578038108,2.505832159873261e-36,2.1543537417941993e-18,0.0,0.002040542110048802,8.614036108022589e-11,0
RIAU,Kampar,0.9991355504762727,4.192968116743621e-34,6.2257699932906285e-22,0.0,0.00086442610046313,2.342326464728921e-08,0
RIAU,Rokan Hulu,0.037383089190501734,4.0091142063561535e-07,2.910462166568172e-40,1.6470790781237226e-109,0.19034344094259958,0.7722730689554781,5
RIAU,Bengkalis,0.9999999997746376,5.858525843442003e-71,2.2534719891180602e-10,0.0,1.511349184931761e-14,5.461903329259533e-24,0
RIAU,Rokan Hilir,0.8643276222327195,5.177350345142303e-26,2.5533284153514132e-26,0.0,0.1356543752982364,1.8002469044172207e-05,0
RIAU,Kepulauan Meranti,2.4843857682202e-05,0.011859866597092346,4.0196555894773683e-82,2.2154649255992847e-21,0.9881152895452255,1.303153510289678e-16,4
RIAU,Kota Pekanbaru,0.999917927725107,4.053867759665557e-67,8.207227485984748e-05,0.0,3.312782410900807e-14,1.5052533238363936e-28,0
RIAU,Kota Dumai,0.10052434506164196,3.7001074531662516e-06,4.873826022567494e-12,1.2647386044246181e-93,0.8676517799146172,0.03182017491141377,4
JAMBI,Kerinci,0.00046746858074587177,0.9264299097727873,3.2018672627980754e-37,0.0001885392574285216,4.600067141474825e-06,0.07290948232189687,1
JAMBI,Merangin,0.008641478402484163,0.4284250824028877,4.375226346147154e-25,4.960223941977468e-10,0.006102796560538041,0.5568306421380678,5
JAMBI,Sarolangun,0.015569343474642602,0.10580810595263831,2.6002145621538924e-21,1.391034366485065e-12,0.01942043235109664,0.8592021182202315,5
JAMBI,Batang Hari,0.00772461568923194,0.6183074881149841,1.5022621573994594e-29,4.0307289591451336e-16,0.008378476785595885,0.3655894194101877,1
JAMBI,Muaro Jambi,0.01421196206998924,0.017923306056603344,4.585152133939856e-16,5.4099358094233455e-33,0.0526127887262353,0.9152519431471717,5
JAMBI,Tanjung Jabung Timur,0.028496966434705857,0.031144667418473642,1.2977933060194627e-47,8.272723105532753e-41,0.02480395031812509,0.9155544158286956,5
JAMBI,Tanjung Jabung Barat,0.09226641778460229,7.417396805293294e-10,9.737095596086363e-39,3.50755715120509e-151,0.4409229487006697,0.46681063277298823,5
JAMBI,Tebo,0.0008314458258223406,0.6782833397578724,2.656744475685089e-32,8.882804109136379e-12,8.179142333017586e-05,0.32080342298409237,1
JAMBI,Bungo,0.008037109709629951,0.019234663300839144,7.304693305221203e-17,8.375758282341151e-18,0.012771858660263598,0.9599563683292672,5
JAMBI,Kota Jambi,0.8274922010305531,6.791195689904549e-13,0.00034179380930956713,7.014758434380453e-48,0.1517586544877532,0.020407350671705016,0
JAMBI,Kota Sungai Penuh,0.0001379394229877505,0.8411107688841761,2.1461966968816007e-28,0.059396850676567275,5.032232869546552e-07,0.099353937792982,1
SUMATERA SELATAN,Ogan Komering Ulu,0.013749484734029677,0.9318468727341513,3.5180571249782073e-33,1.0492037460320926e-09,0.024658720220899592,0.02974492126171564,1
SUMATERA SELATAN,Ogan Komering Ilir,0.073353238688819,0.013739772771765963,1.806493578320532e-46,1.2428516307454992e-62,0.7846131850434456,0.1282938034959696,4
SUMATERA SELATAN,Muara Enim,0.988650291086317,2.0759846121680342e-20,7.61545126014725e-27,1.0998e-319,0.010298667899288532,0.0010510410143946347,0
SUMATERA SELATAN,Lahat,0.007282969446142789,0.8979525729782419,1.8130440843546973e-49,4.0249662726209675e-20,0.09458952545925026,0.00017493211636514382,1
SUMATERA SELATAN,Musi Rawas,0.013596671767074034,0.9307001219294359,9.062234990449349e-47,2.2502804881097924e-24,0.03299600060668844,0.022707205696801486,1
SUMATERA SELATAN,Musi Banyuasin,0.9917968306175935,2.4408510830905606e-23,3.0502723886199394e-41,0.0,0.00741413207900161,0.0007890373034046157,0
