Provinsi,Kab/Kota,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen),Klaster
SULAWESI UTARA,Kota Manado,6.19,2
SULAWESI UTARA,Kota Bitung,6.43,2
SULAWESI UTARA,Kota Tomohon,5.69,2
SULAWESI UTARA,Kota Kotamobagu,5.74,2
SULAWESI TENGAH,Banggai Kepulauan,13.72,0
SULAWESI TENGAH,Banggai,7.83,2
SULAWESI TENGAH,Morowali,13.75,0
SULAWESI TENGAH,Poso,15.92,0
SULAWESI TENGAH,Donggala,16.73,0
SULAWESI TENGAH,Toli-Toli,13.51,0
SULAWESI TENGAH,Buol,14.06,0
SULAWESI TENGAH,Parigi Moutong,15.28,0
SULAWESI TENGAH,Tojo Una-Una,16.6,0
SULAWESI TENGAH,Sigi,13.05,0
SULAWESI TENGAH,Banggai Laut,14.17,0
SULAWESI TENGAH,Morowali Utara,13.9,0
SULAWESI TENGAH,Kota Palu,7.17,2
SULAWESI SELATAN,Kepulauan Selayar,12.45,0
SULAWESI SELATAN,Bulukumba,7.43,2
SULAWESI SELATAN,Bantaeng,9.41,2
SULAWESI SELATAN,Jeneponto,14.28,0
SULAWESI SELATAN,Takalar,8.25,2
SULAWESI SELATAN,Gowa,7.54,2
SULAWESI SELATAN,Sinjai,8.84,2
SULAWESI SELATAN,Maros,9.57,2
SULAWESI SELATAN,Pangkajene Dan Kepulauan,14.28,0
SULAWESI SELATAN,Barru,8.68,2
SULAWESI SELATAN,Bone,10.52,2
SULAWESI SELATAN,Soppeng,7.53,2
SULAWESI SELATAN,Wajo,6.46,2
SULAWESI SELATAN,Sidenreng Rappang,5.04,2
SULAWESI SELATAN,Pinrang,8.81,2
SULAWESI SELATAN,Enrekang,12.47,0
SULAWESI SELATAN,Luwu,12.53,0
SULAWESI SELATAN,Tana Toraja,12.27,0
SULAWESI SELATAN,Luwu Utara,13.59,0
SULAWESI SELATAN,Luwu Timur,6.94,2
SULAWESI SELATAN,Toraja Utara,11.99,0
SULAWESI SELATAN,Kota Makassar,4.82,2
SULAWESI SELATAN,Kota Parepare,5.4,2
SULAWESI SELATAN,Kota Palopo,8.14,2
SULAWESI TENGGARA,Buton,13.92,0
SULAWESI TENGGARA,Muna,13.54,0
SULAWESI TENGGARA,Konawe,13.03,0
SULAWESI TENGGARA,Kolaka,12.43,0
SULAWESI TENGGARA,Konawe Selatan,11.34,0
SULAWESI TENGGARA,Bombana,10.76,2
SULAWESI TENGGARA,Wakatobi,14.91,0
SULAWESI TENGGARA,Kolaka Utara,13.79,0
SULAWESI TENGGARA,Buton Utara,14.89,0
SULAWESI TENGGARA,Konawe Utara,14.32,0
SULAWESI TENGGARA,Kolaka Timur,14.35,0
SULAWESI TENGGARA,Konawe Kepulauan,17.81,0
SULAWESI TENGGARA,Muna Barat,13.96,0
SULAWESI TENGGARA,Buton Tengah,15.8,0
SULAWESI TENGGARA,Buton Selatan,14.62,0
SULAWESI TENGGARA,Kota Kendari,4.87,2
SULAWESI TENGGARA,Kota Baubau,7.78,2
GORONTALO,Boalemo,19.0,0
GORONTALO,Gorontalo,17.89,0
GORONTALO,Pohuwato,18.08,0
GORONTALO,Bone Bolango,16.3,0
GORONTALO,Gorontalo Utara,17.23,0
GORONTALO,Kota Gorontalo,5.93,2
SULAWESI BARAT,Majene,14.34,0
SULAWESI BARAT,Polewali Mandar,15.68,0
SULAWESI BARAT,Mamasa,13.77,0
SULAWESI BARAT,Mamuju,7.46,2
SULAWESI BARAT,Mamuju Utara,4.77,2
