Provinsi,Kab/Kota,PDRB atas Dasar Harga Konstan menurut Pengeluaran (Rupiah),Tingkat Pengangguran Terbuka,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen),Klaster
JAWA TENGAH,Kota Pekalongan,7601486,6.89,7.59,0
JAWA TENGAH,Kota Tegal,11290269,8.25,8.12,0
D I YOGYAKARTA,Kulon Progo,8778800,3.69,18.38,0
D I YOGYAKARTA,Bantul,19773332,4.04,14.04,0
D I YOGYAKARTA,Gunung Kidul,14216362,2.2,17.69,0
D I YOGYAKARTA,Sleman,35786977,5.17,8.64,0
D I YOGYAKARTA,Kota Yogyakarta,28390085,9.13,7.69,0
JAWA TIMUR,Pacitan,11107402,2.04,15.11,0
JAWA TIMUR,Ponorogo,14619969,4.38,10.26,0
JAWA TIMUR,Trenggalek,12959018,3.53,12.14,0
JAWA TIMUR,Tulungagung,27390424,4.91,7.51,0
JAWA TIMUR,Blitar,25700019,3.66,9.65,0
JAWA TIMUR,Kediri,29361672,5.15,11.64,0
JAWA TIMUR,Malang,68619103,5.4,10.5,0
JAWA TIMUR,Lumajang,22623402,3.51,10.05,0
JAWA TIMUR,Jember,54688719,5.44,10.41,0
JAWA TIMUR,Banyuwangi,55471065,5.42,8.07,0
JAWA TIMUR,Bondowoso,13921654,4.46,14.73,0
JAWA TIMUR,Situbondo,13715834,3.68,12.63,0
JAWA TIMUR,Probolinggo,23664388,4.55,18.91,0
JAWA TIMUR,Pasuruan,107630268,6.03,9.7,0
JAWA TIMUR,Sidoarjo,141000359,10.87,5.93,3
JAWA TIMUR,Mojokerto,60198699,5.54,10.62,0
JAWA TIMUR,Jombang,28553448,7.09,10.0,0
JAWA TIMUR,Nganjuk,18640685,4.98,11.85,0
JAWA TIMUR,Madiun,13372330,4.99,11.91,0
JAWA TIMUR,Magetan,13417032,3.86,10.66,0
JAWA TIMUR,Ngawi,13823456,4.25,15.57,0
JAWA TIMUR,Bojonegoro,65839509,4.82,13.27,0
JAWA TIMUR,Tuban,43984689,4.68,16.31,0
JAWA TIMUR,Lamongan,27896543,4.9,13.86,0
JAWA TIMUR,Gresik,101318686,8.0,12.42,0
JAWA TIMUR,Bangkalan,17152779,8.07,21.57,2
JAWA TIMUR,Sampang,13984568,3.45,23.76,2
JAWA TIMUR,Pamekasan,11496236,3.1,15.3,0
JAWA TIMUR,Sumenep,24161351,2.31,20.51,0
JAWA TIMUR,Kota Kediri,86485594,6.37,7.75,0
JAWA TIMUR,Kota Blitar,4924572,6.61,7.89,0
JAWA TIMUR,Kota Malang,53309702,9.65,4.62,0
JAWA TIMUR,Kota Probolinggo,8361142,6.55,7.44,0
JAWA TIMUR,Kota Pasuruan,5914585,6.23,6.88,0
JAWA TIMUR,Kota Mojokerto,4976490,6.87,6.39,0
JAWA TIMUR,Kota Madiun,10748101,8.15,5.09,0
JAWA TIMUR,Kota Surabaya,407726799,9.68,5.23,1
JAWA TIMUR,Kota Batu,11471435,6.57,4.09,0
BANTEN,Pandeglang,20127757,7.7,10.72,0
BANTEN,Lebak,21245043,7.86,10.29,0
BANTEN,Tangerang,97809902,9.06,7.12,0
BANTEN,Serang,54992522,10.58,5.49,0
BANTEN,Kota Tangerang,106705227,9.07,5.93,0
BANTEN,Kota Cilegon,77071368,10.13,4.24,0
BANTEN,Kota Serang,23374085,9.41,6.79,0
BANTEN,Kota Tangerang Selatan,62364158,8.6,2.57,0
