Provinsi,Kab/Kota,PDRB atas Dasar Harga Konstan menurut Pengeluaran (Rupiah),Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen),Klaster
JAWA BARAT,Majalengka,22788754,12.33,0
JAWA BARAT,Sumedang,24414663,10.71,0
JAWA BARAT,Indramayu,59544866,13.04,0
JAWA BARAT,Subang,29023194,10.03,0
JAWA BARAT,Purwakarta,46840149,8.83,0
JAWA BARAT,Karawang,166941492,8.95,0
JAWA BARAT,Bekasi,251828575,5.21,1
JAWA BARAT,Bandung Barat,31701786,11.3,0
JAWA BARAT,Pangandaran,8022781,9.65,0
JAWA BARAT,Kota Bogor,33372476,7.24,0
JAWA BARAT,Kota Sukabumi,8851051,8.25,0
JAWA BARAT,Kota Bandung,200414035,4.37,1
JAWA BARAT,Kota Cirebon,17154552,10.03,0
JAWA BARAT,Kota Bekasi,69796936,4.74,0
JAWA BARAT,Kota Depok,49946927,2.58,0
JAWA BARAT,Kota Cimahi,23275779,5.35,0
JAWA BARAT,Kota Tasikmalaya,15981251,13.13,0
JAWA BARAT,Kota Banjar,3364261,7.11,0
JAWA TENGAH,Cilacap,91944588,11.67,0
JAWA TENGAH,Banyumas,40686808,13.66,0
JAWA TENGAH,Purbalingga,17731438,16.24,0
JAWA TENGAH,Banjarnegara,15536478,16.23,0
JAWA TENGAH,Kebumen,20253059,17.83,0
JAWA TENGAH,Purworejo,13582556,12.4,0
JAWA TENGAH,Wonosobo,14064765,17.67,0
JAWA TENGAH,Magelang,23661713,11.91,0
JAWA TENGAH,Boyolali,23447366,10.62,0
JAWA TENGAH,Klaten,28531109,13.49,0
JAWA TENGAH,Sukoharjo,27634118,8.23,0
JAWA TENGAH,Wonogiri,21251004,11.55,0
JAWA TENGAH,Karanganyar,27034108,10.68,0
JAWA TENGAH,Sragen,27355146,13.83,0
JAWA TENGAH,Grobogan,20115534,12.74,0
JAWA TENGAH,Blora,18126447,12.39,0
JAWA TENGAH,Rembang,13925516,15.8,0
JAWA TENGAH,Pati,31559079,10.21,0
JAWA TENGAH,Kudus,69556928,7.6,0
JAWA TENGAH,Jepara,21944232,7.44,0
JAWA TENGAH,Demak,18856416,12.92,0
JAWA TENGAH,Semarang,35946100,7.82,0
JAWA TENGAH,Temanggung,15387930,10.17,0
JAWA TENGAH,Kendal,31632276,10.24,0
JAWA TENGAH,Batang,15764266,9.68,0
JAWA TENGAH,Pekalongan,16615066,10.57,0
JAWA TENGAH,Pemalang,18916262,16.56,0
JAWA TENGAH,Tegal,25402911,8.6,0
JAWA TENGAH,Brebes,33456328,17.43,0
JAWA TENGAH,Kota Magelang,6513895,7.75,0
JAWA TENGAH,Kota Surakarta,36211248,9.4,0
JAWA TENGAH,Kota Salatiga,9820287,5.14,0
JAWA TENGAH,Kota Semarang,144710663,4.56,0
JAWA TENGAH,Kota Pekalongan,7601486,7.59,0
JAWA TENGAH,Kota Tegal,11290269,8.12,0
D I YOGYAKARTA,Kulon Progo,8778800,18.38,2
D I YOGYAKARTA,Bantul,19773332,14.04,0
D I YOGYAKARTA,Gunung Kidul,14216362,17.69,0
D I YOGYAKARTA,Sleman,35786977,8.64,0
D I YOGYAKARTA,Kota Yogyakarta,28390085,7.69,0
JAWA TIMUR,Pacitan,11107402,15.11,0
JAWA TIMUR,Ponorogo,14619969,10.26,0
JAWA TIMUR,Trenggalek,12959018,12.14,0
JAWA TIMUR,Tulungagung,27390424,7.51,0
JAWA TIMUR,Blitar,25700019,9.65,0
JAWA TIMUR,Kediri,29361672,11.64,0
JAWA TIMUR,Malang,68619103,10.5,0
JAWA TIMUR,Lumajang,22623402,10.05,0
JAWA TIMUR,Jember,54688719,10.41,0
JAWA TIMUR,Banyuwangi,55471065,8.07,0
JAWA TIMUR,Bondowoso,13921654,14.73,0
JAWA TIMUR,Situbondo,13715834,12.63,0
JAWA TIMUR,Probolinggo,23664388,18.91,2
JAWA TIMUR,Pasuruan,107630268,9.7,0
JAWA TIMUR,Sidoarjo,141000359,5.93,0
JAWA TIMUR,Mojokerto,60198699,10.62,0
JAWA TIMUR,Jombang,28553448,10.0,0
JAWA TIMUR,Nganjuk,18640685,11.85,0
JAWA TIMUR,Madiun,13372330,11.91,0
JAWA TIMUR,Magetan,13417032,10.66,0
JAWA TIMUR,Ngawi,13823456,15.57,0
JAWA TIMUR,Bojonegoro,65839509,13.27,0
JAWA TIMUR,Tuban,43984689,16.31,0
JAWA TIMUR,Lamongan,27896543,13.86,0
JAWA TIMUR,Gresik,101318686,12.42,0
JAWA TIMUR,Bangkalan,17152779,21.57,2
JAWA TIMUR,Sampang,13984568,23.76,2
JAWA TIMUR,Pamekasan,11496236,15.3,0
JAWA TIMUR,Sumenep,24161351,20.51,2
JAWA TIMUR,Kota Kediri,86485594,7.75,0
JAWA TIMUR,Kota Blitar,4924572,7.89,0
JAWA TIMUR,Kota Malang,53309702,4.62,0
JAWA TIMUR,Kota Probolinggo,8361142,7.44,0
JAWA TIMUR,Kota Pasuruan,5914585,6.88,0
JAWA TIMUR,Kota Mojokerto,4976490,6.39,0
JAWA TIMUR,Kota Madiun,10748101,5.09,0
JAWA TIMUR,Kota Surabaya,407726799,5.23,1
JAWA TIMUR,Kota Batu,11471435,4.09,0
BANTEN,Pandeglang,20127757,10.72,0
BANTEN,Lebak,21245043,10.29,0
BANTEN,Tangerang,97809902,7.12,0
BANTEN,Serang,54992522,5.49,0
BANTEN,Kota Tangerang,106705227,5.93,0
BANTEN,Kota Cilegon,77071368,4.24,0
BANTEN,Kota Serang,23374085,6.79,0
BANTEN,Kota Tangerang Selatan,62364158,2.57,0
BALI,Jembrana,8892801,5.06,0
BALI,Tabanan,14516578,5.12,0
BALI,Badung,29049519,2.62,0
BALI,Gianyar,17254614,4.85,0
BALI,Klungkung,5595883,5.64,0
BALI,Bangli,4384701,5.09,0
BALI,Karang Asem,10570603,6.78,0
BALI,Buleleng,21797733,6.12,0
BALI,Kota Denpasar,32447056,2.96,0
NUSA TENGGARA BARAT,Lombok Barat,10472388,14.47,0
NUSA TENGGARA BARAT,Lombok Tengah,12037665,13.44,0
NUSA TENGGARA BARAT,Lombok Timur,14410804,15.38,0
NUSA TENGGARA BARAT,Sumbawa,10221006,13.91,0
NUSA TENGGARA BARAT,Dompu,4979197,12.6,0
NUSA TENGGARA BARAT,Bima,8085529,14.88,0
NUSA TENGGARA BARAT,Sumbawa Barat,16416012,13.54,0
NUSA TENGGARA BARAT,Lombok Utara,3262262,27.04,2
NUSA TENGGARA BARAT,Kota Mataram,13476129,8.65,0
NUSA TENGGARA BARAT,Kota Bima,2939133,8.88,0
NUSA TENGGARA TIMUR,Sumba Barat,1452224,28.39,2
NUSA TENGGARA TIMUR,Sumba Timur,4009592,29.68,2
NUSA TENGGARA TIMUR,Kupang,4885118,22.98,2
NUSA TENGGARA TIMUR,Timor Tengah Selatan,4883924,26.64,2
NUSA TENGGARA TIMUR,Timor Tengah Utara,2949220,22.62,2
NUSA TENGGARA TIMUR,Belu,3020198,15.68,0
NUSA TENGGARA TIMUR,Alor,2045994,21.09,2
NUSA TENGGARA TIMUR,Lembata,1180363,26.21,2
NUSA TENGGARA TIMUR,Flores Timur,3517877,11.14,0
NUSA TENGGARA TIMUR,Sikka,3371315,13.35,0
NUSA TENGGARA TIMUR,Ende,4162984,24.13,2
NUSA TENGGARA TIMUR,Ngada,2335872,12.58,0
NUSA TENGGARA TIMUR,Manggarai,3025880,20.48,2
NUSA TENGGARA TIMUR,Rote Ndao,1971699,28.08,2
NUSA TENGGARA TIMUR,Manggarai Barat,2296768,17.92,2
NUSA TENGGARA TIMUR,Sumba Tengah,767260,34.27,2
NUSA TENGGARA TIMUR,Sumba Barat Daya,2355164,28.18,2
NUSA TENGGARA TIMUR,Nagekeo,1406360,12.91,0
NUSA TENGGARA TIMUR,Manggarai Timur,2086842,26.5,2
NUSA TENGGARA TIMUR,Sabu Raijua,785138,30.13,2
NUSA TENGGARA TIMUR,Malaka,1915540,16.33,0
NUSA TENGGARA TIMUR,Kota Kupang,16530278,9.17,0
KALIMANTAN BARAT,Sambas,13948120,7.66,0
KALIMANTAN BARAT,Bengkayang,5842930,6.48,0
KALIMANTAN BARAT,Landak,7312662,10.99,0
KALIMANTAN BARAT,Pontianak,5466323,5.18,0
KALIMANTAN BARAT,Sanggau,13790449,4.55,0
KALIMANTAN BARAT,Ketapang,18848703,10.13,0
KALIMANTAN BARAT,Sintang,9731976,9.28,0
KALIMANTAN BARAT,Kapuas Hulu,6510868,8.93,0
KALIMANTAN BARAT,Sekadau,4435321,6.26,0
KALIMANTAN BARAT,Melawi,3500136,12.01,0
KALIMANTAN BARAT,Kayong Utara,2632989,9.33,0
KALIMANTAN BARAT,Kubu Raya,18754974,4.34,0
KALIMANTAN BARAT,Kota Pontianak,24919417,4.58,0
KALIMANTAN BARAT,Kota Singkawang,6977774,4.83,0
KALIMANTAN TENGAH,Kotawaringin Barat,13733984,3.95,0
KALIMANTAN TENGAH,Kotawaringin Timur,18269734,5.91,0
KALIMANTAN TENGAH,Kapuas,11306032,5.35,0
KALIMANTAN TENGAH,Barito Selatan,4326702,4.62,0
KALIMANTAN TENGAH,Barito Utara,7151778,5.61,0
KALIMANTAN TENGAH,Sukamara,3043322,3.66,0
KALIMANTAN TENGAH,Lamandau,3968760,3.56,0
KALIMANTAN TENGAH,Seruyan,6033556,7.22,0
KALIMANTAN TENGAH,Katingan,5087479,5.25,0
KALIMANTAN TENGAH,Pulang Pisau,3596824,4.24,0
KALIMANTAN TENGAH,Gunung Mas,3804709,5.35,0
KALIMANTAN TENGAH,Barito Timur,5336339,6.38,0
KALIMANTAN TENGAH,Murung Raya,5975994,6.15,0
KALIMANTAN TENGAH,Kota Palangka Raya,11031469,3.75,0
KALIMANTAN SELATAN,Tanah Laut,10516399,4.57,0
KALIMANTAN SELATAN,Kota Baru,17887219,4.86,0
KALIMANTAN SELATAN,Banjar,12108903,3.04,0
KALIMANTAN SELATAN,Barito Kuala,5942832,5.11,0
KALIMANTAN SELATAN,Tapin,6575521,3.6,0
KALIMANTAN SELATAN,Hulu Sungai Selatan,4844532,4.84,0
KALIMANTAN SELATAN,Hulu Sungai Tengah,4978193,6.18,0
KALIMANTAN SELATAN,Hulu Sungai Utara,3409822,6.83,0
KALIMANTAN SELATAN,Tabalong,14957253,6.27,0
KALIMANTAN SELATAN,Tanah Bumbu,16047002,4.82,0
KALIMANTAN SELATAN,Balangan,9477288,6.07,0
KALIMANTAN SELATAN,Kota Banjarmasin,22672492,4.89,0
KALIMANTAN SELATAN,Kota Banjar Baru,6321365,4.4,0
KALIMANTAN TIMUR,Paser,36588972,9.73,0
KALIMANTAN TIMUR,Kutai Barat,21509219,10.24,0
KALIMANTAN TIMUR,Kutai Kartanegara,124178505,7.99,0
KALIMANTAN TIMUR,Kutai Timur,91906125,9.81,0
KALIMANTAN TIMUR,Berau,28802736,5.88,0
KALIMANTAN TIMUR,Penajam Paser Utara,6492343,7.61,0
KALIMANTAN TIMUR,Mahakam Hulu,1786101,11.9,0
KALIMANTAN TIMUR,Kota Balikpapan,86796991,2.89,0
KALIMANTAN TIMUR,Kota Samarinda,46282119,4.99,0
KALIMANTAN TIMUR,Kota Bontang,39949434,4.62,0
KALIMANTAN UTARA,Malinau,8190168,7.3,0
KALIMANTAN UTARA,Bulungan,12014801,10.03,0
KALIMANTAN UTARA,Tana Tidung,3818805,5.15,0
KALIMANTAN UTARA,Nunukan,16353329,6.79,0
KALIMANTAN UTARA,Kota Tarakan,22965209,6.71,0
SULAWESI UTARA,Bolaang Mongondow,5726207,7.58,0
SULAWESI UTARA,Minahasa,12095806,7.67,0
SULAWESI UTARA,Kepulauan Sangihe,3204803,11.02,0
SULAWESI UTARA,Kepulauan Talaud,1665598,9.0,0
SULAWESI UTARA,Minahasa Selatan,6371366,9.37,0
SULAWESI UTARA,Minahasa Utara,9884318,7.11,0
SULAWESI UTARA,Bolaang Mongondow Utara,1749563,8.03,0
SULAWESI UTARA,Siau Tagulandang Biaro,1681881,8.94,0
SULAWESI UTARA,Minahasa Tenggara,3769488,12.47,0
SULAWESI UTARA,Bolaang Mongondow Selatan,1386962,12.85,0
SULAWESI UTARA,Bolaang Mongondow Timur,1938799,6.1,0
SULAWESI UTARA,Kota Manado,26056517,6.19,0
SULAWESI UTARA,Kota Bitung,11846006,6.43,0
SULAWESI UTARA,Kota Tomohon,3215178,5.69,0
SULAWESI UTARA,Kota Kotamobagu,2497919,5.74,0
SULAWESI TENGAH,Banggai Kepulauan,2735237,13.72,0
SULAWESI TENGAH,Banggai,18864238,7.83,0
SULAWESI TENGAH,Morowali,54916245,13.75,0
SULAWESI TENGAH,Poso,6523785,15.92,0
SULAWESI TENGAH,Donggala,8544440,16.73,0
SULAWESI TENGAH,Toli-Toli,5776241,13.51,0
SULAWESI TENGAH,Buol,4029741,14.06,0
SULAWESI TENGAH,Parigi Moutong,11621816,15.28,0
SULAWESI TENGAH,Tojo Una-Una,3878590,16.6,0
SULAWESI TENGAH,Sigi,6426753,13.05,0
SULAWESI TENGAH,Banggai Laut,1678039,14.17,0
SULAWESI TENGAH,Morowali Utara,8916699,13.9,0
SULAWESI TENGAH,Kota Palu,16385580,7.17,0
SULAWESI SELATAN,Kepulauan Selayar,3765558,12.45,0
SULAWESI SELATAN,Bulukumba,9013584,7.43,0
SULAWESI SELATAN,Bantaeng,6151447,9.41,0
SULAWESI SELATAN,Jeneponto,7058350,14.28,0
SULAWESI SELATAN,Takalar,6908048,8.25,0
SULAWESI SELATAN,Gowa,15043696,7.54,0
SULAWESI SELATAN,Sinjai,7576835,8.84,0
SULAWESI SELATAN,Maros,12400617,9.57,0
SULAWESI SELATAN,Pangkajene Dan Kepulauan,17500610,14.28,0
SULAWESI SELATAN,Barru,5069995,8.68,0
SULAWESI SELATAN,Bone,23273868,10.52,0
SULAWESI SELATAN,Soppeng,7585976,7.53,0
SULAWESI SELATAN,Wajo,13569283,6.46,0
SULAWESI SELATAN,Sidenreng Rappang,8866074,5.04,0
SULAWESI SELATAN,Pinrang,13472493,8.81,0
SULAWESI SELATAN,Enrekang,4884373,12.47,0
SULAWESI SELATAN,Luwu,10449750,12.53,0
SULAWESI SELATAN,Tana Toraja,4780984,12.27,0
SULAWESI SELATAN,Luwu Utara,8491499,13.59,0
SULAWESI SELATAN,Luwu Timur,16030502,6.94,0
SULAWESI SELATAN,Toraja Utara,5357129,11.99,0
SULAWESI SELATAN,Kota Makassar,126312828,4.82,0
SULAWESI SELATAN,Kota Parepare,5161916,5.4,0
SULAWESI SELATAN,Kota Palopo,5768275,8.14,0
SULAWESI TENGGARA,Buton,2847090,13.92,0
SULAWESI TENGGARA,Muna,5229546,13.54,0
SULAWESI TENGGARA,Konawe,7826408,13.03,0
SULAWESI TENGGARA,Kolaka,18999351,12.43,0
SULAWESI TENGGARA,Konawe Selatan,8655572,11.34,0
SULAWESI TENGGARA,Bombana,4873717,10.76,0
SULAWESI TENGGARA,Wakatobi,3220931,14.91,0
SULAWESI TENGGARA,Kolaka Utara,6525446,13.79,0
SULAWESI TENGGARA,Buton Utara,2342595,14.89,0
SULAWESI TENGGARA,Konawe Utara,2957837,14.32,0
SULAWESI TENGGARA,Kolaka Timur,3413957,14.35,0
SULAWESI TENGGARA,Konawe Kepulauan,1071100,17.81,2
SULAWESI TENGGARA,Muna Barat,1926498,13.96,0
SULAWESI TENGGARA,Buton Tengah,1760036,15.8,0
SULAWESI TENGGARA,Buton Selatan,2080195,14.62,0
SULAWESI TENGGARA,Kota Kendari,17165185,4.87,0
SULAWESI TENGGARA,Kota Baubau,6844689,7.78,0
GORONTALO,Boalemo,3567638,19.0,2
GORONTALO,Gorontalo,9082312,17.89,0
GORONTALO,Pohuwato,4703613,18.08,2
GORONTALO,Bone Bolango,3224680,16.3,0
GORONTALO,Gorontalo Utara,2376146,17.23,0
GORONTALO,Kota Gorontalo,6345632,5.93,0
SULAWESI BARAT,Majene,3598959,14.34,0
SULAWESI BARAT,Polewali Mandar,9414992,15.68,0
SULAWESI BARAT,Mamasa,2255608,13.77,0
SULAWESI BARAT,Mamuju,8342016,7.46,0
SULAWESI BARAT,Mamuju Utara,7389296,4.77,0
SULAWESI BARAT,Mamuju Tengah,2282748,7.13,0
MALUKU,Maluku Tenggara Barat,1749807,27.27,2
MALUKU,Maluku Tenggara,2034006,22.73,2
MALUKU,Maluku Tengah,6028166,19.84,2
MALUKU,Buru,1611262,17.28,0
MALUKU,Kepulauan Aru,2356727,26.53,2
MALUKU,Seram Bagian Barat,2030114,25.27,2
MALUKU,Seram Bagian Timur,1966542,23.25,2
MALUKU,Maluku Barat Daya,1091807,29.55,2
MALUKU,Buru Selatan,923245,15.89,0
MALUKU,Kota Ambon,10591813,5.02,0
MALUKU,Kota Tual,1550124,23.26,2
MALUKU UTARA,Halmahera Barat,1554088,8.95,0
MALUKU UTARA,Halmahera Tengah,5225848,13.52,0
MALUKU UTARA,Kepulauan Sula,1663354,8.23,0
MALUKU UTARA,Halmahera Selatan,6532022,5.19,0
MALUKU UTARA,Halmahera Utara,3870036,5.22,0
MALUKU UTARA,Halmahera Timur,2491395,15.04,0
MALUKU UTARA,Pulau Morotai,1083770,6.52,0
MALUKU UTARA,Pulau Taliabu,1128880,7.49,0
MALUKU UTARA,Kota Ternate,7394964,3.55,0
MALUKU UTARA,Kota Tidore Kepulauan,2062850,6.58,0
PAPUA BARAT,Fakfak,3474011,22.86,2
PAPUA BARAT,Kaimana,1716123,16.04,0
PAPUA BARAT,Teluk Wondama,990094,31.61,2
PAPUA BARAT,Teluk Bintuni,25061823,29.79,2
PAPUA BARAT,Manokwari,6593321,20.56,2
PAPUA BARAT,Sorong Selatan,1300536,18.55,2
PAPUA BARAT,Sorong,8520874,27.78,2
PAPUA BARAT,Raja Ampat,2590412,17.5,0
PAPUA BARAT,Tambrauw,147485,33.86,2
PAPUA BARAT,Maybrat,467690,31.39,2
PAPUA BARAT,Manokwari Selatan,586829,29.3,2
