Provinsi,Kab/Kota,Tingkat Pengangguran Terbuka,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen),Klaster
JAWA TENGAH,Kota Magelang,8.73,7.75,2
JAWA TENGAH,Kota Surakarta,7.85,9.4,2
JAWA TENGAH,Kota Salatiga,7.26,5.14,2
JAWA TENGAH,Kota Semarang,9.54,4.56,2
JAWA TENGAH,Kota Pekalongan,6.89,7.59,2
JAWA TENGAH,Kota Tegal,8.25,8.12,2
D I YOGYAKARTA,Kulon Progo,3.69,18.38,0
D I YOGYAKARTA,Bantul,4.04,14.04,0
D I YOGYAKARTA,Gunung Kidul,2.2,17.69,0
D I YOGYAKARTA,Sleman,5.17,8.64,0
D I YOGYAKARTA,Kota Yogyakarta,9.13,7.69,2
JAWA TIMUR,Pacitan,2.04,15.11,0
JAWA TIMUR,Ponorogo,4.38,10.26,0
JAWA TIMUR,Trenggalek,3.53,12.14,0
JAWA TIMUR,Tulungagung,4.91,7.51,0
JAWA TIMUR,Blitar,3.66,9.65,0
JAWA TIMUR,Kediri,5.15,11.64,0
JAWA TIMUR,Malang,5.4,10.5,0
JAWA TIMUR,Lumajang,3.51,10.05,0
JAWA TIMUR,Jember,5.44,10.41,0
JAWA TIMUR,Banyuwangi,5.42,8.07,0
JAWA TIMUR,Bondowoso,4.46,14.73,0
JAWA TIMUR,Situbondo,3.68,12.63,0
JAWA TIMUR,Probolinggo,4.55,18.91,0
JAWA TIMUR,Pasuruan,6.03,9.7,0
JAWA TIMUR,Sidoarjo,10.87,5.93,2
JAWA TIMUR,Mojokerto,5.54,10.62,0
JAWA TIMUR,Jombang,7.09,10.0,2
JAWA TIMUR,Nganjuk,4.98,11.85,0
JAWA TIMUR,Madiun,4.99,11.91,0
JAWA TIMUR,Magetan,3.86,10.66,0
JAWA TIMUR,Ngawi,4.25,15.57,0
JAWA TIMUR,Bojonegoro,4.82,13.27,0
JAWA TIMUR,Tuban,4.68,16.31,0
JAWA TIMUR,Lamongan,4.9,13.86,0
JAWA TIMUR,Gresik,8.0,12.42,2
JAWA TIMUR,Bangkalan,8.07,21.57,2
JAWA TIMUR,Sampang,3.45,23.76,1
JAWA TIMUR,Pamekasan,3.1,15.3,0
JAWA TIMUR,Sumenep,2.31,20.51,1
JAWA TIMUR,Kota Kediri,6.37,7.75,2
JAWA TIMUR,Kota Blitar,6.61,7.89,2
JAWA TIMUR,Kota Malang,9.65,4.62,2
JAWA TIMUR,Kota Probolinggo,6.55,7.44,2
JAWA TIMUR,Kota Pasuruan,6.23,6.88,2
JAWA TIMUR,Kota Mojokerto,6.87,6.39,2
JAWA TIMUR,Kota Madiun,8.15,5.09,2
JAWA TIMUR,Kota Surabaya,9.68,5.23,2
JAWA TIMUR,Kota Batu,6.57,4.09,2
BANTEN,Pandeglang,7.7,10.72,2
BANTEN,Lebak,7.86,10.29,2
BANTEN,Tangerang,9.06,7.12,2
BANTEN,Serang,10.58,5.49,2
BANTEN,Kota Tangerang,9.07,5.93,2
BANTEN,Kota Cilegon,10.13,4.24,2
BANTEN,Kota Serang,9.41,6.79,2
BANTEN,Kota Tangerang Selatan,8.6,2.57,2
BALI,Jembrana,4.11,5.06,0
BALI,Tabanan,3.94,5.12,0
BALI,Badung,6.93,2.62,2
BALI,Gianyar,6.9,4.85,2
BALI,Klungkung,5.35,5.64,0
BALI,Bangli,1.8,5.09,0
BALI,Karang Asem,2.32,6.78,0
BALI,Buleleng,5.38,6.12,0
BALI,Kota Denpasar,7.02,2.96,2
NUSA TENGGARA BARAT,Lombok Barat,3.32,14.47,0
NUSA TENGGARA BARAT,Lombok Tengah,2.33,13.44,0
NUSA TENGGARA BARAT,Lombok Timur,2.79,15.38,0
NUSA TENGGARA BARAT,Sumbawa,3.39,13.91,0
NUSA TENGGARA BARAT,Dompu,3.02,12.6,0
NUSA TENGGARA BARAT,Bima,1.58,14.88,0
NUSA TENGGARA BARAT,Sumbawa Barat,5.52,13.54,0
NUSA TENGGARA BARAT,Lombok Utara,1.75,27.04,1
NUSA TENGGARA BARAT,Kota Mataram,5.19,8.65,0
NUSA TENGGARA BARAT,Kota Bima,3.56,8.88,0
NUSA TENGGARA TIMUR,Sumba Barat,1.74,28.39,1
NUSA TENGGARA TIMUR,Sumba Timur,3.35,29.68,1
NUSA TENGGARA TIMUR,Kupang,3.99,22.98,1
NUSA TENGGARA TIMUR,Timor Tengah Selatan,2.57,26.64,1
NUSA TENGGARA TIMUR,Timor Tengah Utara,3.88,22.62,1
NUSA TENGGARA TIMUR,Belu,5.35,15.68,0
NUSA TENGGARA TIMUR,Alor,2.59,21.09,1
NUSA TENGGARA TIMUR,Lembata,4.94,26.21,1
NUSA TENGGARA TIMUR,Flores Timur,3.81,11.14,0
NUSA TENGGARA TIMUR,Sikka,4.54,13.35,0
NUSA TENGGARA TIMUR,Ende,2.61,24.13,1
NUSA TENGGARA TIMUR,Ngada,2.99,12.58,0
NUSA TENGGARA TIMUR,Manggarai,3.7,20.48,1
NUSA TENGGARA TIMUR,Rote Ndao,3.67,28.08,1
NUSA TENGGARA TIMUR,Manggarai Barat,4.94,17.92,0
NUSA TENGGARA TIMUR,Sumba Tengah,1.45,34.27,1
NUSA TENGGARA TIMUR,Sumba Barat Daya,2.04,28.18,1
NUSA TENGGARA TIMUR,Nagekeo,0.97,12.91,0
NUSA TENGGARA TIMUR,Manggarai Timur,1.96,26.5,1
NUSA TENGGARA TIMUR,Sabu Raijua,1.25,30.13,1
NUSA TENGGARA TIMUR,Malaka,3.43,16.33,0
NUSA TENGGARA TIMUR,Kota Kupang,9.76,9.17,2
