Provinsi,Kab/Kota,PDRB atas Dasar Harga Konstan menurut Pengeluaran (Rupiah),Tingkat Pengangguran Terbuka,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen),Persentase rumah tangga yang memiliki akses terhadap sanitasi layak,Klaster
BENGKULU,Kaur,2333305,3.45,18.62,78.63,0
BENGKULU,Seluma,2932955,3.44,18.72,84.29,0
BENGKULU,Mukomuko,3429923,3.68,11.93,86.79,0
BENGKULU,Lebong,2192263,3.18,12.0,51.55,0
BENGKULU,Kepahiang,2894350,1.89,14.83,66.88,0
BENGKULU,Bengkulu Tengah,2951442,4.07,9.68,80.23,0
BENGKULU,Kota Bengkulu,15833195,6.35,17.89,95.8,0
LAMPUNG,Lampung Barat,5053324,2.83,12.82,76.5,0
LAMPUNG,Tanggamus,10924782,2.93,11.81,68.96,0
LAMPUNG,Lampung Selatan,30541213,5.27,14.19,94.4,0
LAMPUNG,Lampung Timur,29000404,3.05,15.08,86.29,0
LAMPUNG,Lampung Tengah,48710038,4.31,11.99,79.37,0
LAMPUNG,Lampung Utara,16727892,6.14,19.63,75.03,0
LAMPUNG,Way Kanan,9736500,3.36,13.09,78.66,0
LAMPUNG,Tulangbawang,16062917,4.1,9.67,84.83,0
LAMPUNG,Pesawaran,11492493,4.19,15.11,83.73,0
LAMPUNG,Pringsewu,7870162,4.85,10.11,88.91,0
LAMPUNG,Mesuji,7107313,3.42,7.54,78.98,0
LAMPUNG,Tulang Bawang Barat,7970781,3.35,8.32,75.33,0
LAMPUNG,Pesisir Barat,3133190,3.08,14.81,76.68,0
LAMPUNG,Kota Bandar Lampung,39818098,8.85,9.11,95.45,2
LAMPUNG,Kota Metro,4358386,5.0,8.93,94.64,0
KEP. BANGKA BELITUNG,Bangka,10733700,5.97,4.81,95.73,0
KEP. BANGKA BELITUNG,Belitung,6710007,3.51,7.15,94.57,0
KEP. BANGKA BELITUNG,Bangka Barat,10331789,3.83,2.75,89.99,0
KEP. BANGKA BELITUNG,Bangka Tengah,5986898,4.95,5.13,92.66,0
KEP. BANGKA BELITUNG,Bangka Selatan,6275555,5.29,3.69,83.39,0
KEP. BANGKA BELITUNG,Belitung Timur,5713650,3.78,7.2,89.46,0
KEP. BANGKA BELITUNG,Kota Pangkal Pinang,9611883,6.81,4.76,96.78,0
KEPULAUAN RIAU,Karimun,9332771,7.2,6.85,92.88,0
KEPULAUAN RIAU,Bintan,13933491,8.62,6.42,79.76,2
KEPULAUAN RIAU,Natuna,14645400,5.15,4.95,70.71,0
KEPULAUAN RIAU,Lingga,2971547,4.23,13.93,68.18,0
KEPULAUAN RIAU,Kepulauan Anambas,11108487,1.27,7.09,33.8,0
KEPULAUAN RIAU,Kota Batam,111068955,11.64,5.05,97.83,2
KEPULAUAN RIAU,Kota Tanjung Pinang,14020211,6.31,9.57,84.47,0
DKI JAKARTA,Kepulauan Seribu,3649179,8.58,15.06,83.75,0
DKI JAKARTA,Kota Jakarta Selatan,429398830,7.33,3.56,96.51,2
DKI JAKARTA,Kota Jakarta Timur,313842135,8.23,4.28,96.73,2
DKI JAKARTA,Kota Jakarta Pusat,460081046,7.75,4.94,89.56,2
DKI JAKARTA,Kota Jakarta Barat,327622101,9.06,4.31,97.75,2
DKI JAKARTA,Kota Jakarta Utara,330894597,9.84,7.24,90.61,2
JAWA BARAT,Bogor,159582645,12.22,8.13,63.91,2
JAWA BARAT,Sukabumi,47933519,9.51,7.7,64.35,2
JAWA BARAT,Cianjur,32897517,9.32,11.18,58.52,2
JAWA BARAT,Bandung,83947149,8.32,7.15,64.51,2
JAWA BARAT,Garut,39981191,8.68,10.65,43.73,2
JAWA BARAT,Tasikmalaya,25179475,6.16,11.15,49.35,0
JAWA BARAT,Ciamis,22774934,5.06,7.97,66.59,0
JAWA BARAT,Kuningan,17483024,11.68,13.1,80.98,2
JAWA BARAT,Cirebon,34128554,10.38,12.3,83.41,2
JAWA BARAT,Majalengka,22788754,5.71,12.33,80.59,0
JAWA BARAT,Sumedang,24414663,9.18,10.71,87.87,2
JAWA BARAT,Indramayu,59544866,8.3,13.04,89.75,2
JAWA BARAT,Subang,29023194,9.77,10.03,85.82,2
JAWA BARAT,Purwakarta,46840149,10.7,8.83,72.61,2
JAWA BARAT,Karawang,166941492,11.83,8.95,77.19,2
