Provinsi,Kab/Kota,Prob_Klaster_0,Prob_Klaster_1,Prob_Klaster_2,Klaster
SUMATERA BARAT,Kota Solok,0.6487769938686905,0.34949442206088915,0.0017285840704202885,0
SUMATERA BARAT,Kota Sawah Lunto,0.6372773873437829,0.3588668454244887,0.003855767231728254,0
SUMATERA BARAT,Kota Padang Panjang,0.5711913119114763,0.4232078844336045,0.005600803654919274,0
SUMATERA BARAT,Kota Bukittinggi,0.48920665081097625,0.5027107016161623,0.00808264757286161,1
SUMATERA BARAT,Kota Payakumbuh,0.7242798219452067,0.26621089095128003,0.009509287103513332,0
SUMATERA BARAT,Kota Pariaman,0.7356635052258059,0.2598086188791646,0.0045278758950292935,0
RIAU,Kuantan Singingi,7.162996140861606e-58,0.9766893075719233,0.023310692428076717,1
RIAU,Indragiri Hulu,6.1029421273519866e-96,0.9156171096734469,0.0843828903265534,1
RIAU,Indragiri Hilir,2.3210059412501897e-241,0.007819044910898819,0.9921809550891009,2
RIAU,Pelalawan,2.3328636184195188e-141,0.4642936786136225,0.5357063213863774,2
RIAU,Siak,0.0,0.00012000524828217156,0.9998799947517175,2
RIAU,Kampar,1.500067e-318,0.00021481729740644633,0.9997851827025935,2
RIAU,Rokan Hulu,1.9636223596553592e-70,0.9587821012682217,0.04121789873177828,1
RIAU,Bengkalis,0.0,2.9418022492278953e-11,0.9999999999705818,2
RIAU,Rokan Hilir,2.9377637824020165e-240,0.008375953039236333,0.9916240469607637,2
RIAU,Kepulauan Meranti,2.557112137745694e-13,0.9999990146331662,9.8536657793888e-07,1
RIAU,Kota Pekanbaru,0.0,2.578945637489799e-10,0.9999999997421058,2
RIAU,Kota Dumai,2.4288756772136524e-60,0.9755592964332248,0.024440703566775298,1
JAMBI,Kerinci,0.09997825350990597,0.8969010797678798,0.0031206667222141897,1
JAMBI,Merangin,6.839565948242036e-06,0.9892134298847589,0.010779730549292882,1
JAMBI,Sarolangun,1.2558784375884426e-07,0.985659967362184,0.014339907049972254,1
JAMBI,Batang Hari,9.114548630008006e-10,0.9915556882561515,0.008444310832393692,1
JAMBI,Muaro Jambi,1.777791279168724e-20,0.9927338073069772,0.007266192693022848,1
JAMBI,Tanjung Jabung Timur,1.532184464041673e-25,0.9928315610515758,0.007168438948424163,1
JAMBI,Tanjung Jabung Barat,2.622961210223227e-98,0.8767149028972665,0.12328509710273347,1
JAMBI,Tebo,3.424145971991073e-06,0.9970299449772028,0.0029666308768253216,1
JAMBI,Bungo,1.1346678317929276e-10,0.9879291862143622,0.012070813672171088,1
JAMBI,Kota Jambi,5.203503533016191e-31,0.7492165160263926,0.25078348397360745,1
JAMBI,Kota Sungai Penuh,0.7053811998766271,0.29434005833544435,0.00027874178792863645,0
SUMATERA SELATAN,Ogan Komering Ulu,6.217492363189053e-06,0.9923080904510683,0.007685692056568499,1
SUMATERA SELATAN,Ogan Komering Ilir,4.5570631603194757e-41,0.9938260207388175,0.006173979261182384,1
SUMATERA SELATAN,Muara Enim,1.1036321883272689e-213,0.08263530561660193,0.9173646943833976,2
SUMATERA SELATAN,Lahat,8.424985708203263e-13,0.9982350993990893,0.0017649006000682145,1
SUMATERA SELATAN,Musi Rawas,2.300220714035801e-15,0.9958351363436462,0.004164863656351445,1
SUMATERA SELATAN,Musi Banyuasin,2.691665486545199e-241,0.0847445862219662,0.9152554137780342,2
SUMATERA SELATAN,Banyu Asin,1.3512607708707038e-38,0.9868172395806257,0.013182760419374271,1
SUMATERA SELATAN,Ogan Komering Ulu Selatan,0.3058079690279942,0.6888502947480771,0.0053417362239287555,1
SUMATERA SELATAN,Ogan Komering Ulu Timur,1.1089004417609747e-06,0.9938775374543516,0.006121353645206725,1
SUMATERA SELATAN,Ogan Ilir,0.008909834681087136,0.9864156116419006,0.00467455367701226,1
SUMATERA SELATAN,Empat Lawang,0.7910213273682419,0.20762647561872258,0.0013521970130356141,0
SUMATERA SELATAN,Penukal Abab Lematang Ilir,0.6765543820890468,0.3207430126821203,0.002702605228832873,0
SUMATERA SELATAN,Musi Rawas Utara,0.7503299145292224,0.24952892973015942,0.00014115574061803816,0
SUMATERA SELATAN,Kota Palembang,0.0,4.741311576856131e-26,1.0,2
SUMATERA SELATAN,Kota Prabumulih,0.5339371973466727,0.4558649523291395,0.010197850324187826,0
SUMATERA SELATAN,Kota Pagar Alam,0.5311165320087549,0.46629382149342125,0.0025896464978238795,0
SUMATERA SELATAN,Kota Lubuklinggau,0.7671236246834516,0.22706594073278127,0.005810434583767083,0
BENGKULU,Bengkulu Selatan,0.9338030152533962,0.06610479130614404,9.219344045985712e-05,0
BENGKULU,Rejang Lebong,0.2243488025303167,0.7735089482348968,0.002142249234786557,1
BENGKULU,Bengkulu Utara,0.49766375287248393,0.4979437170824418,0.004392530045074308,1
BENGKULU,Kaur,0.9604089232170676,0.039532853880519005,5.8222902413317804e-05,0
BENGKULU,Seluma,0.962726076110743,0.03722714889055715,4.6774998699839065e-05,0
BENGKULU,Mukomuko,0.7731597037844277,0.2242347679647562,0.002605528250816157,0
BENGKULU,Lebong,0.682884934058847,0.31354661944060774,0.00356844650054528,0
BENGKULU,Kepahiang,0.8464067309897958,0.15284602805700076,0.0007472409532034082,0
BENGKULU,Bengkulu Tengah,0.689195375967336,0.3061550145141449,0.004649609518519077,0
BENGKULU,Kota Bengkulu,6.367380640504327e-21,0.998997002202437,0.0010029977975631714,1
