Provinsi,Kab/Kota,PDRB atas Dasar Harga Konstan menurut Pengeluaran (Rupiah),Tingkat Pengangguran Terbuka,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen),Indeks Pembangunan Manusia,Klaster
KEPULAUAN RIAU,Kepulauan Anambas,11108487,1.27,7.09,69.23,0
KEPULAUAN RIAU,Kota Batam,111068955,11.64,5.05,81.12,1
KEPULAUAN RIAU,Kota Tanjung Pinang,14020211,6.31,9.57,78.93,1
DKI JAKARTA,Kepulauan Seribu,3649179,8.58,15.06,72.1,1
DKI JAKARTA,Kota Jakarta Selatan,429398830,7.33,3.56,84.9,1
DKI JAKARTA,Kota Jakarta Timur,313842135,8.23,4.28,82.97,1
DKI JAKARTA,Kota Jakarta Pusat,460081046,7.75,4.94,81.56,1
DKI JAKARTA,Kota Jakarta Barat,327622101,9.06,4.31,81.76,1
DKI JAKARTA,Kota Jakarta Utara,330894597,9.84,7.24,80.51,1
JAWA BARAT,Bogor,159582645,12.22,8.13,70.6,1
JAWA BARAT,Sukabumi,47933519,9.51,7.7,67.07,1
JAWA BARAT,Cianjur,32897517,9.32,11.18,65.56,1
JAWA BARAT,Bandung,83947149,8.32,7.15,72.73,1
JAWA BARAT,Garut,39981191,8.68,10.65,66.45,1
JAWA BARAT,Tasikmalaya,25179475,6.16,11.15,65.9,0
JAWA BARAT,Ciamis,22774934,5.06,7.97,70.93,0
JAWA BARAT,Kuningan,17483024,11.68,13.1,69.71,1
JAWA BARAT,Cirebon,34128554,10.38,12.3,69.12,1
JAWA BARAT,Majalengka,22788754,5.71,12.33,67.81,0
JAWA BARAT,Sumedang,24414663,9.18,10.71,71.8,1
JAWA BARAT,Indramayu,59544866,8.3,13.04,67.64,1
JAWA BARAT,Subang,29023194,9.77,10.03,69.13,1
JAWA BARAT,Purwakarta,46840149,10.7,8.83,70.98,1
JAWA BARAT,Karawang,166941492,11.83,8.95,70.94,1
JAWA BARAT,Bekasi,251828575,10.09,5.21,74.45,1
JAWA BARAT,Bandung Barat,31701786,11.65,11.3,68.29,1
JAWA BARAT,Pangandaran,8022781,3.25,9.65,68.28,0
JAWA BARAT,Kota Bogor,33372476,11.79,7.24,76.59,1
JAWA BARAT,Kota Sukabumi,8851051,10.78,8.25,74.6,1
JAWA BARAT,Kota Bandung,200414035,11.46,4.37,81.96,1
JAWA BARAT,Kota Cirebon,17154552,10.53,10.03,75.25,1
JAWA BARAT,Kota Bekasi,69796936,10.88,4.74,81.95,1
JAWA BARAT,Kota Depok,49946927,9.76,2.58,81.37,1
JAWA BARAT,Kota Cimahi,23275779,13.07,5.35,78.06,1
JAWA BARAT,Kota Tasikmalaya,15981251,7.66,13.13,73.31,1
JAWA BARAT,Kota Banjar,3364261,6.09,7.11,71.92,0
JAWA TENGAH,Cilacap,91944588,9.97,11.67,70.42,1
JAWA TENGAH,Banyumas,40686808,6.05,13.66,72.44,0
JAWA TENGAH,Purbalingga,17731438,6.05,16.24,69.15,0
JAWA TENGAH,Banjarnegara,15536478,5.86,16.23,67.86,0
JAWA TENGAH,Kebumen,20253059,6.03,17.83,70.05,0
JAWA TENGAH,Purworejo,13582556,3.59,12.4,72.98,0
JAWA TENGAH,Wonosobo,14064765,5.26,17.67,68.43,0
JAWA TENGAH,Magelang,23661713,5.03,11.91,70.12,0
JAWA TENGAH,Boyolali,23447366,5.09,10.62,74.4,0
JAWA TENGAH,Klaten,28531109,5.48,13.49,76.12,0
JAWA TENGAH,Sukoharjo,27634118,3.32,8.23,77.13,0
JAWA TENGAH,Wonogiri,21251004,2.43,11.55,70.49,0
JAWA TENGAH,Karanganyar,27034108,5.89,10.68,75.99,0
JAWA TENGAH,Sragen,27355146,4.76,13.83,74.08,0
JAWA TENGAH,Grobogan,20115534,4.38,12.74,70.41,0
JAWA TENGAH,Blora,18126447,3.81,12.39,69.37,0
JAWA TENGAH,Rembang,13925516,3.67,15.8,70.43,0
JAWA TENGAH,Pati,31559079,4.6,10.21,72.28,0
JAWA TENGAH,Kudus,69556928,3.77,7.6,75.16,0
JAWA TENGAH,Jepara,21944232,4.23,7.44,72.36,0
JAWA TENGAH,Demak,18856416,5.28,12.92,72.57,0
JAWA TENGAH,Semarang,35946100,5.02,7.82,74.24,0
JAWA TENGAH,Temanggung,15387930,2.62,10.17,69.88,0
JAWA TENGAH,Kendal,31632276,7.55,10.24,72.5,1
JAWA TENGAH,Batang,15764266,6.59,9.68,68.92,0
JAWA TENGAH,Pekalongan,16615066,4.28,10.57,70.11,0
JAWA TENGAH,Pemalang,18916262,6.71,16.56,66.56,0
JAWA TENGAH,Tegal,25402911,9.97,8.6,68.79,1
JAWA TENGAH,Brebes,33456328,9.78,17.43,66.32,1
JAWA TENGAH,Kota Magelang,6513895,8.73,7.75,79.43,1
JAWA TENGAH,Kota Surakarta,36211248,7.85,9.4,82.62,1
JAWA TENGAH,Kota Salatiga,9820287,7.26,5.14,83.6,1
JAWA TENGAH,Kota Semarang,144710663,9.54,4.56,83.55,1
JAWA TENGAH,Kota Pekalongan,7601486,6.89,7.59,75.4,1
JAWA TENGAH,Kota Tegal,11290269,8.25,8.12,75.52,1
D I YOGYAKARTA,Kulon Progo,8778800,3.69,18.38,74.71,0
D I YOGYAKARTA,Bantul,19773332,4.04,14.04,80.28,0
D I YOGYAKARTA,Gunung Kidul,14216362,2.2,17.69,70.16,0
D I YOGYAKARTA,Sleman,35786977,5.17,8.64,84.0,1
D I YOGYAKARTA,Kota Yogyakarta,28390085,9.13,7.69,87.18,1
JAWA TIMUR,Pacitan,11107402,2.04,15.11,68.57,0
JAWA TIMUR,Ponorogo,14619969,4.38,10.26,71.06,0
JAWA TIMUR,Trenggalek,12959018,3.53,12.14,70.06,0
JAWA TIMUR,Tulungagung,27390424,4.91,7.51,73.15,0
JAWA TIMUR,Blitar,25700019,3.66,9.65,71.05,0
JAWA TIMUR,Kediri,29361672,5.15,11.64,72.56,0
JAWA TIMUR,Malang,68619103,5.4,10.5,70.6,0
JAWA TIMUR,Lumajang,22623402,3.51,10.05,66.07,0
JAWA TIMUR,Jember,54688719,5.44,10.41,67.32,0
JAWA TIMUR,Banyuwangi,55471065,5.42,8.07,71.38,0
JAWA TIMUR,Bondowoso,13921654,4.46,14.73,66.59,0
JAWA TIMUR,Situbondo,13715834,3.68,12.63,67.78,0
JAWA TIMUR,Probolinggo,23664388,4.55,18.91,66.26,0
JAWA TIMUR,Pasuruan,107630268,6.03,9.7,68.93,1
JAWA TIMUR,Sidoarjo,141000359,10.87,5.93,80.65,1
JAWA TIMUR,Mojokerto,60198699,5.54,10.62,74.15,1
JAWA TIMUR,Jombang,28553448,7.09,10.0,73.45,1
JAWA TIMUR,Nganjuk,18640685,4.98,11.85,71.97,0
JAWA TIMUR,Madiun,13372330,4.99,11.91,71.88,0
JAWA TIMUR,Magetan,13417032,3.86,10.66,74.15,0
JAWA TIMUR,Ngawi,13823456,4.25,15.57,71.04,0
JAWA TIMUR,Bojonegoro,65839509,4.82,13.27,69.59,0
JAWA TIMUR,Tuban,43984689,4.68,16.31,68.91,0
JAWA TIMUR,Lamongan,27896543,4.9,13.86,73.12,0
JAWA TIMUR,Gresik,101318686,8.0,12.42,76.5,1
