Provinsi,Kab/Kota,PDRB atas Dasar Harga Konstan menurut Pengeluaran (Rupiah),Klaster
NUSA TENGGARA TIMUR,Sumba Tengah,767260,0
NUSA TENGGARA TIMUR,Sumba Barat Daya,2355164,0
NUSA TENGGARA TIMUR,Nagekeo,1406360,0
NUSA TENGGARA TIMUR,Manggarai Timur,2086842,0
NUSA TENGGARA TIMUR,Sabu Raijua,785138,0
NUSA TENGGARA TIMUR,Malaka,1915540,0
NUSA TENGGARA TIMUR,Kota Kupang,16530278,0
KALIMANTAN BARAT,Sambas,13948120,0
KALIMANTAN BARAT,Bengkayang,5842930,0
KALIMANTAN BARAT,Landak,7312662,0
KALIMANTAN BARAT,Pontianak,5466323,0
KALIMANTAN BARAT,Sanggau,13790449,0
KALIMANTAN BARAT,Ketapang,18848703,0
KALIMANTAN BARAT,Sintang,9731976,0
KALIMANTAN BARAT,Kapuas Hulu,6510868,0
KALIMANTAN BARAT,Sekadau,4435321,0
KALIMANTAN BARAT,Melawi,3500136,0
KALIMANTAN BARAT,Kayong Utara,2632989,0
KALIMANTAN BARAT,Kubu Raya,18754974,0
KALIMANTAN BARAT,Kota Pontianak,24919417,0
KALIMANTAN BARAT,Kota Singkawang,6977774,0
KALIMANTAN TENGAH,Kotawaringin Barat,13733984,0
KALIMANTAN TENGAH,Kotawaringin Timur,18269734,0
KALIMANTAN TENGAH,Kapuas,11306032,0
KALIMANTAN TENGAH,Barito Selatan,4326702,0
KALIMANTAN TENGAH,Barito Utara,7151778,0
KALIMANTAN TENGAH,Sukamara,3043322,0
KALIMANTAN TENGAH,Lamandau,3968760,0
KALIMANTAN TENGAH,Seruyan,6033556,0
KALIMANTAN TENGAH,Katingan,5087479,0
KALIMANTAN TENGAH,Pulang Pisau,3596824,0
KALIMANTAN TENGAH,Gunung Mas,3804709,0
KALIMANTAN TENGAH,Barito Timur,5336339,0
KALIMANTAN TENGAH,Murung Raya,5975994,0
KALIMANTAN TENGAH,Kota Palangka Raya,11031469,0
KALIMANTAN SELATAN,Tanah Laut,10516399,0
KALIMANTAN SELATAN,Kota Baru,17887219,0
KALIMANTAN SELATAN,Banjar,12108903,0
KALIMANTAN SELATAN,Barito Kuala,5942832,0
KALIMANTAN SELATAN,Tapin,6575521,0
KALIMANTAN SELATAN,Hulu Sungai Selatan,4844532,0
KALIMANTAN SELATAN,Hulu Sungai Tengah,4978193,0
KALIMANTAN SELATAN,Hulu Sungai Utara,3409822,0
KALIMANTAN SELATAN,Tabalong,14957253,0
KALIMANTAN SELATAN,Tanah Bumbu,16047002,0
KALIMANTAN SELATAN,Balangan,9477288,0
KALIMANTAN SELATAN,Kota Banjarmasin,22672492,0
KALIMANTAN SELATAN,Kota Banjar Baru,6321365,0
KALIMANTAN TIMUR,Paser,36588972,0
KALIMANTAN TIMUR,Kutai Barat,21509219,0
KALIMANTAN TIMUR,Kutai Kartanegara,124178505,2
KALIMANTAN TIMUR,Kutai Timur,91906125,2
KALIMANTAN TIMUR,Berau,28802736,0
KALIMANTAN TIMUR,Penajam Paser Utara,6492343,0
KALIMANTAN TIMUR,Mahakam Hulu,1786101,0
KALIMANTAN TIMUR,Kota Balikpapan,86796991,2
KALIMANTAN TIMUR,Kota Samarinda,46282119,0
KALIMANTAN TIMUR,Kota Bontang,39949434,0
KALIMANTAN UTARA,Malinau,8190168,0
KALIMANTAN UTARA,Bulungan,12014801,0
KALIMANTAN UTARA,Tana Tidung,3818805,0
KALIMANTAN UTARA,Nunukan,16353329,0
KALIMANTAN UTARA,Kota Tarakan,22965209,0
SULAWESI UTARA,Bolaang Mongondow,5726207,0
SULAWESI UTARA,Minahasa,12095806,0
SULAWESI UTARA,Kepulauan Sangihe,3204803,0
SULAWESI UTARA,Kepulauan Talaud,1665598,0
SULAWESI UTARA,Minahasa Selatan,6371366,0
SULAWESI UTARA,Minahasa Utara,9884318,0
SULAWESI UTARA,Bolaang Mongondow Utara,1749563,0
SULAWESI UTARA,Siau Tagulandang Biaro,1681881,0
SULAWESI UTARA,Minahasa Tenggara,3769488,0
SULAWESI UTARA,Bolaang Mongondow Selatan,1386962,0
SULAWESI UTARA,Bolaang Mongondow Timur,1938799,0
SULAWESI UTARA,Kota Manado,26056517,0
SULAWESI UTARA,Kota Bitung,11846006,0
SULAWESI UTARA,Kota Tomohon,3215178,0
SULAWESI UTARA,Kota Kotamobagu,2497919,0
SULAWESI TENGAH,Banggai Kepulauan,2735237,0
SULAWESI TENGAH,Banggai,18864238,0
SULAWESI TENGAH,Morowali,54916245,2
SULAWESI TENGAH,Poso,6523785,0
SULAWESI TENGAH,Donggala,8544440,0
SULAWESI TENGAH,Toli-Toli,5776241,0
SULAWESI TENGAH,Buol,4029741,0
SULAWESI TENGAH,Parigi Moutong,11621816,0
SULAWESI TENGAH,Tojo Una-Una,3878590,0
SULAWESI TENGAH,Sigi,6426753,0
SULAWESI TENGAH,Banggai Laut,1678039,0
SULAWESI TENGAH,Morowali Utara,8916699,0
SULAWESI TENGAH,Kota Palu,16385580,0
SULAWESI SELATAN,Kepulauan Selayar,3765558,0
SULAWESI SELATAN,Bulukumba,9013584,0
SULAWESI SELATAN,Bantaeng,6151447,0
SULAWESI SELATAN,Jeneponto,7058350,0
SULAWESI SELATAN,Takalar,6908048,0
SULAWESI SELATAN,Gowa,15043696,0
SULAWESI SELATAN,Sinjai,7576835,0
SULAWESI SELATAN,Maros,12400617,0
SULAWESI SELATAN,Pangkajene Dan Kepulauan,17500610,0
SULAWESI SELATAN,Barru,5069995,0
SULAWESI SELATAN,Bone,23273868,0
SULAWESI SELATAN,Soppeng,7585976,0
SULAWESI SELATAN,Wajo,13569283,0
SULAWESI SELATAN,Sidenreng Rappang,8866074,0
SULAWESI SELATAN,Pinrang,13472493,0
SULAWESI SELATAN,Enrekang,4884373,0
SULAWESI SELATAN,Luwu,10449750,0
SULAWESI SELATAN,Tana Toraja,4780984,0
SULAWESI SELATAN,Luwu Utara,8491499,0
SULAWESI SELATAN,Luwu Timur,16030502,0
SULAWESI SELATAN,Toraja Utara,5357129,0
SULAWESI SELATAN,Kota Makassar,126312828,2
SULAWESI SELATAN,Kota Parepare,5161916,0
SULAWESI SELATAN,Kota Palopo,5768275,0
SULAWESI TENGGARA,Buton,2847090,0
SULAWESI TENGGARA,Muna,5229546,0
SULAWESI TENGGARA,Konawe,7826408,0
SULAWESI TENGGARA,Kolaka,18999351,0
SULAWESI TENGGARA,Konawe Selatan,8655572,0
SULAWESI TENGGARA,Bombana,4873717,0
SULAWESI TENGGARA,Wakatobi,3220931,0
SULAWESI TENGGARA,Kolaka Utara,6525446,0
SULAWESI TENGGARA,Buton Utara,2342595,0
SULAWESI TENGGARA,Konawe Utara,2957837,0
SULAWESI TENGGARA,Kolaka Timur,3413957,0
SULAWESI TENGGARA,Konawe Kepulauan,1071100,0
SULAWESI TENGGARA,Muna Barat,1926498,0
SULAWESI TENGGARA,Buton Tengah,1760036,0
SULAWESI TENGGARA,Buton Selatan,2080195,0
SULAWESI TENGGARA,Kota Kendari,17165185,0
SULAWESI TENGGARA,Kota Baubau,6844689,0
GORONTALO,Boalemo,3567638,0
GORONTALO,Gorontalo,9082312,0
GORONTALO,Pohuwato,4703613,0
GORONTALO,Bone Bolango,3224680,0
GORONTALO,Gorontalo Utara,2376146,0
GORONTALO,Kota Gorontalo,6345632,0
SULAWESI BARAT,Majene,3598959,0
SULAWESI BARAT,Polewali Mandar,9414992,0
SULAWESI BARAT,Mamasa,2255608,0
SULAWESI BARAT,Mamuju,8342016,0
SULAWESI BARAT,Mamuju Utara,7389296,0
SULAWESI BARAT,Mamuju Tengah,2282748,0
MALUKU,Maluku Tenggara Barat,1749807,0
MALUKU,Maluku Tenggara,2034006,0
MALUKU,Maluku Tengah,6028166,0
MALUKU,Buru,1611262,0
MALUKU,Kepulauan Aru,2356727,0
MALUKU,Seram Bagian Barat,2030114,0
MALUKU,Seram Bagian Timur,1966542,0
MALUKU,Maluku Barat Daya,1091807,0
MALUKU,Buru Selatan,923245,0
MALUKU,Kota Ambon,10591813,0
MALUKU,Kota Tual,1550124,0
MALUKU UTARA,Halmahera Barat,1554088,0
MALUKU UTARA,Halmahera Tengah,5225848,0
MALUKU UTARA,Kepulauan Sula,1663354,0
MALUKU UTARA,Halmahera Selatan,6532022,0
MALUKU UTARA,Halmahera Utara,3870036,0
MALUKU UTARA,Halmahera Timur,2491395,0
MALUKU UTARA,Pulau Morotai,1083770,0
MALUKU UTARA,Pulau Taliabu,1128880,0
MALUKU UTARA,Kota Ternate,7394964,0
MALUKU UTARA,Kota Tidore Kepulauan,2062850,0
PAPUA BARAT,Fakfak,3474011,0
PAPUA BARAT,Kaimana,1716123,0
PAPUA BARAT,Teluk Wondama,990094,0
PAPUA BARAT,Teluk Bintuni,25061823,0
PAPUA BARAT,Manokwari,6593321,0
PAPUA BARAT,Sorong Selatan,1300536,0
PAPUA BARAT,Sorong,8520874,0
PAPUA BARAT,Raja Ampat,2590412,0
PAPUA BARAT,Tambrauw,147485,0
PAPUA BARAT,Maybrat,467690,0
PAPUA BARAT,Manokwari Selatan,586829,0
PAPUA BARAT,Pegunungan Arfak,157525,0
PAPUA BARAT,Kota Sorong,9986993,0
PAPUA,Merauke,10424592,0
PAPUA,Jayawijaya,4659979,0
PAPUA,Jayapura,10271631,0
PAPUA,Nabire,7693272,0
PAPUA,Kepulauan Yapen,2901321,0
PAPUA,Biak Numfor,3327269,0
PAPUA,Paniai,3084841,0
PAPUA,Puncak Jaya,983029,0
PAPUA,Mimika,69619313,2
PAPUA,Boven Digoel,3223281,0
PAPUA,Mappi,1883775,0
PAPUA,Asmat,1563594,0
PAPUA,Yahukimo,1556231,0
PAPUA,Pegunungan Bintang,1444833,0
PAPUA,Tolikara,1068562,0
PAPUA,Sarmi,1862596,0
PAPUA,Keerom,2048897,0
PAPUA,Waropen,1485621,0
PAPUA,Supiori,781180,0
PAPUA,Mamberamo Raya,1030714,0
PAPUA,Nduga *,815251,0
PAPUA,Lanny Jaya,1202144,0
PAPUA,Mamberamo Tengah,769368,0
PAPUA,Yalimo,782619,0
PAPUA,Puncak,831070,0
PAPUA,Dogiyai,906904,0
PAPUA,Intan Jaya,767101,0
PAPUA,Deiyai,841296,0
PAPUA,Kota Jayapura,22852202,0
